;author;author_type;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price_per_m2;price;year_of_construction;living_meters;kitchen_meters;phone;district;street;underground;residential_complex
17;ID 102136095;homeowner;https://www.cian.ru/sale/flat/286309827/;Москва_и_др.;sale;flat;2;9;1;33.0;275757;9100000;1966;18.5;7.0;79660639603;Северное Медведково;Широкая;Медведково;
18;Денис Каргин;realtor;https://www.cian.ru/sale/flat/287497628/;Москва_и_др.;sale;flat;1;3;1;22.1;223981;4949999;-1;17.1;1.5;79057124759;Головинский;Солнечногорский проезд;Селигерская;
19;ID 18108810;unknown;https://www.cian.ru/sale/flat/287246286/;Москва_и_др.;sale;flat;15;15;1;38.3;275456;10550000;2021;22.1;10.0;79852918449;Северное Измайлово;15-я Парковая;Щёлковская;
20;Центр недвижимости от Сбербанка;real_estate_agent;https://www.cian.ru/sale/flat/287680354/;Москва_и_др.;sale;flat;8;16;1;37.9;285224;10810000;1983;19.1;8.6;79802132825;Бабушкинский;Ленская;Бабушкинская;
21;Бест-Пресня;real_estate_agent;https://balashikha.cian.ru/sale/flat/286920022/;Москва_и_др.;sale;flat;2;25;1;38.0;175000;6650000;2013;-1.0;10.0;79647911626;;;Щёлковская;
22;City Market;real_estate_agent;https://www.cian.ru/sale/flat/284304792/;Москва_и_др.;sale;flat;34;52;1;42.2;425355;17950000;2022;-1.0;-1.0;79031049101;Хорошево-Мневники;Народного Ополчения;Народное Ополчение;Wellton Towers
23;Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/281348053/;Москва_и_др.;sale;flat;18;22;1;46.0;652173;30000000;2018;-1.0;-1.0;79660271431;Тимирязевский;Ивановская;Тимирязевская;
24;Кварта-ПИК БРОКЕР;real_estate_agent;https://www.cian.ru/sale/flat/265942567/;Москва_и_др.;sale;flat;6;16;1;36.2;215359;7796000;1976;16.7;12.8;79651343545;Очаково-Матвеевское;Аминьевское шоссе;Кунцевская;
25;СТРОЙИНВЕСТ;real_estate_agent;https://lyubertsy.cian.ru/sale/flat/275036469/;Москва_и_др.;sale;flat;21;26;1;36.9;207317;7650000;2020;17.0;11.0;79160767966;;;Лухмановская;
26;Наталья Тырина;realtor;https://www.cian.ru/sale/flat/285333225/;Москва_и_др.;sale;flat;1;2;1;15.11;330906;4999999;-1;12.3;2.2;79164966398;Соколиная гора;Вольная;Семёновская;
27;Бест-Пресня;real_estate_agent;https://www.cian.ru/sale/flat/287197597/;Москва_и_др.;sale;flat;9;12;1;36.0;238888;8600000;1968;-1.0;9.7;79151933850;Перово;Лазо;Перово;
28;Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/282039507/;Москва_и_др.;sale;flat;1;12;1;39.1;237851;9300000;-1;21.0;9.0;79660531406;Кузьминки;Юго-Восточный ао;Кузьминки;
29;Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/287067368/;Москва_и_др.;sale;flat;14;26;1;32.5;267692;8700000;2014;15.0;10.0;79660531406;;;Коммунарка;
30;Homeapp;real_estate_agent;https://lyubertsy.cian.ru/sale/flat/287084765/;Москва_и_др.;sale;flat;6;6;1;36.6;133879;4900000;-1;14.5;9.5;79660531406;;;;
31;ID 416302;realtor;https://www.cian.ru/sale/flat/287488946/;Москва_и_др.;sale;flat;2;14;1;45.2;519911;23500000;-1;-1.0;21.1;79165922804;Раменки;проспект Генерала Дорохова;Минская;West Garden
32;Бест-Пресня;real_estate_agent;https://lyubertsy.cian.ru/sale/flat/287237499/;Москва_и_др.;sale;flat;14;17;1;33.5;191044;6400000;2021;-1.0;9.0;79151933850;;;Некрасовка;
33;RED;real_estate_agent;https://www.cian.ru/sale/flat/287201428/;Москва_и_др.;sale;flat;4;27;1;47.4;411392;19500000;2022;-1.0;20.0;79057199087;Раменки;Янковского;Аминьевская;Событие
34;Estes;real_estate_agent;https://www.cian.ru/sale/flat/287590387/;Москва_и_др.;sale;flat;4;29;1;45.0;511111;23000000;2023;26.0;13.0;79645645265;Даниловский;Восточная;Автозаводская;RiverSky
35;ID 102091586;homeowner;https://www.cian.ru/sale/flat/286275553/;Москва_и_др.;sale;flat;17;17;1;38.0;297368;11300000;1994;18.0;8.5;79663179310;Митино;Дубравная;Митино;
36;СТРОЙИНВЕСТ;real_estate_agent;https://www.cian.ru/sale/flat/284080223/;Москва_и_др.;sale;flat;13;25;1;41.5;224002;9296100;2022;18.4;12.9;79629001579;Некрасовка;Липчанского;Некрасовка;Некрасовка
37;EstateLiga;real_estate_agent;https://www.cian.ru/sale/flat/283142861/;Москва_и_др.;sale;flat;53;58;1;38.5;415584;16000000;2022;18.7;12.4;79851576046;Хорошево-Мневники;Народного Ополчения;Народное Ополчение;Wellton Towers
38;Century 21 Street Realty;real_estate_agent;https://www.cian.ru/sale/flat/286398211/;Москва_и_др.;sale;flat;20;58;1;37.5;554666;20800000;2022;23.4;6.0;79652741235;Хорошево-Мневники;Народного Ополчения;Народное Ополчение;Wellton Towers
39;Century 21 Street Realty;real_estate_agent;https://www.cian.ru/sale/flat/281435777/;Москва_и_др.;sale;flat;27;48;1;29.0;565517;16400000;2022;-1.0;-1.0;79652741235;Хорошево-Мневники;Народного Ополчения;Народное Ополчение;Wellton Towers
40;ID 102646707;homeowner;https://www.cian.ru/sale/flat/286877644/;Москва_и_др.;sale;flat;2;6;1;52.2;295019;15400000;1930;25.5;13.5;79660595350;Лефортово;2-я Кабельная;Авиамоторная;
41;СЕДЬМОЕ НЕБО;real_estate_agent;https://www.cian.ru/sale/flat/277062511/;Москва_и_др.;sale;flat;22;30;1;37.0;500000;18500000;2021;12.0;15.0;79629620752;Тимирязевский;Дмитровский проезд;Дмитровская;D1
42;Century 21 Street Realty;real_estate_agent;https://www.cian.ru/sale/flat/287551076/;Москва_и_др.;sale;flat;25;58;1;31.1;549839;17100000;2022;-1.0;-1.0;79652741235;Хорошево-Мневники;Народного Ополчения;Народное Ополчение;Wellton Towers
43;ЦеНтр ПИК;real_estate_agent;https://www.cian.ru/sale/flat/279205666/;Москва_и_др.;sale;flat;17;21;1;32.8;442073;14500000;2016;20.0;6.0;79645953945;Свиблово;Лазоревый проезд;Ботанический сад;LIFE-Ботанический сад
44;СТРОЙИНВЕСТ;real_estate_agent;https://balashikha.cian.ru/sale/flat/285743174/;Москва_и_др.;sale;flat;12;17;1;37.1;142773;5296910;2022;13.8;11.9;79645655432;;;;
45;СЕДЬМОЕ НЕБО;real_estate_agent;https://www.cian.ru/sale/flat/286620882/;Москва_и_др.;sale;flat;22;58;1;40.0;495000;19800000;2021;12.5;18.0;79629620752;Тимирязевский;Дмитровский проезд;Дмитровская;D1
46;СТРОЙИНВЕСТ;real_estate_agent;https://balashikha.cian.ru/sale/flat/285743541/;Москва_и_др.;sale;flat;2;17;1;37.0;153062;5663320;2022;14.0;13.5;79660637125;;;;
47;ИМПЕРИАЛ;official_representative;https://www.cian.ru/sale/flat/281463806/;Москва_и_др.;sale;flat;3;5;1;19.7;375634;7400000;1955;-1.0;-1.0;79660505587;Богородское;Ивантеевская;Бульвар Рокоссовского;
48;ID 66610278;realtor;https://www.cian.ru/sale/flat/287647901/;Москва_и_др.;sale;flat;6;16;1;29.2;527397;15400000;2019;10.0;6.5;79672277960;Лефортово;проезд Невельского;Лефортово;Символ
49;PROНЕДВИЖИМОСТЬ;real_estate_agent;https://www.cian.ru/sale/flat/285798770/;Москва_и_др.;sale;flat;13;19;1;43.0;208139;8950000;2013;-1.0;-1.0;79060410583;;;Коммунарка;
50;ID 102438676;homeowner;https://khimki.cian.ru/sale/flat/286631369/;Москва_и_др.;sale;flat;5;25;1;40.0;237500;9500000;2017;17.0;10.5;79651102397;;;Беломорская;
51;СЛУЖБА 925;real_estate_agent;https://khimki.cian.ru/sale/flat/286175971/;Москва_и_др.;sale;flat;10;26;1;39.0;243589;9500000;2017;18.0;12.0;79680116194;;;;
52;OPN PARTNER;real_estate_agent;https://krasnogorsk.cian.ru/sale/flat/287042630/;Москва_и_др.;sale;flat;5;9;1;31.0;160967;4990000;2022;-1.0;-1.0;79031193825;;;;
53;PROНЕДВИЖИМОСТЬ;real_estate_agent;https://khimki.cian.ru/sale/flat/287539671/;Москва_и_др.;sale;flat;12;17;1;38.0;214473;8150000;2012;-1.0;-1.0;79168176956;;;Ховрино;
54;ID 102633367;realtor;https://www.cian.ru/sale/flat/286874756/;Москва_и_др.;sale;flat;12;12;1;32.9;243161;8000000;2021;15.1;8.4;79670725041;;;Бунинская аллея;
55;PRO ОБМЕН;real_estate_agent;https://www.cian.ru/sale/flat/286674942/;Москва_и_др.;sale;flat;14;15;1;36.6;259562;9500000;2022;14.6;17.0;79857793272;;;Улица Скобелевская;
56;CENTURY 21;real_estate_agent;https://lyubertsy.cian.ru/sale/flat/285078639/;Москва_и_др.;sale;flat;14;17;1;34.9;147564;5150000;2020;15.4;11.2;79660611742;;;Некрасовка;
57;Маленков недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/287532440/;Москва_и_др.;sale;flat;3;9;1;29.5;386440;11400000;1966;17.8;5.8;79161253551;Южнопортовый;5-я Кожуховская;Кожуховская;
58;ID 283823;real_estate_agent;https://www.cian.ru/sale/flat/287616667/;Москва_и_др.;sale;flat;3;29;1;37.0;459459;17000000;2021;14.0;12.0;79660271867;Можайский;переулок 2-й Петра Алексеева;Рабочий посёлок;КутузовGRAD II
59;Century 21 Street Realty;real_estate_agent;https://www.cian.ru/sale/flat/281398710/;Москва_и_др.;sale;flat;41;53;1;33.9;427728;14500000;2022;-1.0;-1.0;79652741235;Хорошево-Мневники;Народного Ополчения;Народное Ополчение;Wellton Towers
60;OPN PARTNER;real_estate_agent;https://krasnogorsk.cian.ru/sale/flat/287217280/;Москва_и_др.;sale;flat;2;8;1;35.5;132394;4700000;2021;-1.0;-1.0;79031193825;;;;
61;ID 515728;unknown;https://www.cian.ru/sale/flat/286793870/;Москва_и_др.;sale;flat;4;9;1;30.0;408333;12250000;1967;-1.0;-1.0;79660593264;Котловка;Севастопольский проспект;Крымская;
62;Татьяна Шотова;realtor;https://balashikha.cian.ru/sale/flat/285152952/;Москва_и_др.;sale;flat;20;25;1;41.3;145036;5990000;2013;19.0;10.0;79606024569;;;Щёлковская;
63;OPN PARTNER;real_estate_agent;https://khimki.cian.ru/sale/flat/287219799/;Москва_и_др.;sale;flat;3;17;1;39.0;179487;7000000;2013;-1.0;-1.0;79031193825;;;;
64;ID 74969801;realtor;https://www.cian.ru/sale/flat/279010340/;Москва_и_др.;sale;flat;1;5;1;22.0;249545;5490000;1958;16.0;3.0;79689541804;Нижегородский;Новохохловская;Калитники;
65;ID 47710548;realtor;https://www.cian.ru/sale/flat/287508334/;Москва_и_др.;sale;flat;12;16;1;38.0;331578;12600000;1979;19.0;8.0;79169358125;Зюзино;Балаклавский проспект;Зюзино;
66;Валерия Николаевна;realtor;https://www.cian.ru/sale/flat/286816046/;Москва_и_др.;sale;flat;8;12;1;35.0;571400;19999000;2019;15.0;6.0;79660615282;Тверской;2-я Брестская;Маяковская;Резиденция Тверская
67;RAN-realty;real_estate_agent;https://www.cian.ru/sale/flat/286728256/;Москва_и_др.;sale;flat;18;20;1;55.0;369090;20300000;2019;13.4;28.4;79660951832;Свиблово;проезд Серебрякова;Ботанический сад;Silver
68;ID 96109158;homeowner;https://vidnoye.cian.ru/sale/flat/281274694/;Москва_и_др.;sale;flat;4;17;1;37.4;172459;6450000;2019;-1.0;18.0;79684711659;;;;
69;ID 96167522;realtor;https://www.cian.ru/sale/flat/285804531/;Москва_и_др.;sale;flat;9;9;1;26.4;284280;7505000;1980;-1.0;-1.0;79660542058;Люблино;Верхние Поля;Братиславская;
70;ID 96167522;realtor;https://www.cian.ru/sale/flat/278748356/;Москва_и_др.;sale;flat;9;9;1;34.4;254069;8740000;1980;-1.0;-1.0;79660542058;Люблино;Верхние Поля;Братиславская;
71;Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/287318428/;Москва_и_др.;sale;flat;17;18;1;32.2;295031;9500000;2022;9.2;15.9;79060473279;;;Юго-Западная;
72;ID 96167522;realtor;https://www.cian.ru/sale/flat/278816863/;Москва_и_др.;sale;flat;5;9;1;29.6;265929;7871500;1980;-1.0;-1.0;79660542058;Люблино;Верхние Поля;Братиславская;
73;Realty Point - Точка недвижимости;real_estate_agent;https://www.cian.ru/sale/flat/285921767/;Москва_и_др.;sale;flat;2;10;1;39.2;436224;17100000;1944;25.4;6.0;79854206147;Дорогомилово;Кутузовский проспект;Студенческая;
74;BERI;real_estate_agent;https://www.cian.ru/sale/flat/286929845/;Москва_и_др.;sale;flat;2;8;1;48.5;412164;19990000;-1;23.3;8.5;79645535804;Замоскворечье;Космодамианская набережная;Павелецкая;
75;Валерия Николаевна;realtor;https://kotelniki.cian.ru/sale/flat/286680870/;Москва_и_др.;sale;flat;5;22;1;49.1;173095;8499000;2016;18.0;11.0;79660615282;;;Котельники;
76;Триумфальная Арка;real_estate_agent;https://www.cian.ru/sale/flat/287208235/;Москва_и_др.;sale;flat;8;17;1;41.0;251219;10300000;2013;17.0;10.5;79162314845;Бирюлево Восточное;Михневская;Царицыно;Загорье
77;ID 96167522;realtor;https://www.cian.ru/sale/flat/278819371/;Москва_и_др.;sale;flat;2;9;1;25.3;236561;5985000;1980;-1.0;-1.0;79660542058;Люблино;Верхние Поля;Братиславская;
78;ID 96167522;realtor;https://www.cian.ru/sale/flat/279847997/;Москва_и_др.;sale;flat;3;9;1;26.5;277830;7362500;1980;-1.0;-1.0;79660542058;Люблино;Верхние Поля;Братиславская;
79;ID 96167522;realtor;https://www.cian.ru/sale/flat/279846898/;Москва_и_др.;sale;flat;1;9;1;25.8;224612;5795000;1980;-1.0;-1.0;79660542058;Люблино;Верхние Поля;Братиславская;
80;ID 96167522;realtor;https://www.cian.ru/sale/flat/278821154/;Москва_и_др.;sale;flat;6;9;1;25.0;243200;6080000;1980;-1.0;-1.0;79660542058;Люблино;Верхние Поля;Братиславская;
81;ID 96167522;realtor;https://www.cian.ru/sale/flat/278820310/;Москва_и_др.;sale;flat;4;9;1;25.0;243200;6080000;1980;-1.0;-1.0;79660542058;Люблино;Верхние Поля;Братиславская;
82;ID 96167522;realtor;https://www.cian.ru/sale/flat/278821463/;Москва_и_др.;sale;flat;9;9;1;25.2;242559;6112500;1980;-1.0;-1.0;79660542058;Люблино;Верхние Поля;Братиславская;
83;Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/272661740/;Москва_и_др.;sale;flat;12;14;1;40.6;672413;27300000;2018;-1.0;15.0;79067535235;Даниловский;Архитектора Щусева;Автозаводская;ЗИЛАРТ
84;ID 96167522;realtor;https://www.cian.ru/sale/flat/284408968/;Москва_и_др.;sale;flat;1;9;1;25.3;222351;5625500;1980;-1.0;-1.0;79660542058;Люблино;Верхние Поля;Братиславская;
85;Realty Point - Точка недвижимости;real_estate_agent;https://www.cian.ru/sale/flat/286182757/;Москва_и_др.;sale;flat;14;16;1;27.2;256985;6990000;2022;12.7;5.5;79104869841;;;Прокшино;
86;PRO ОБМЕН;real_estate_agent;https://www.cian.ru/sale/flat/287250624/;Москва_и_др.;sale;flat;8;9;1;33.0;278787;9200000;1966;-1.0;7.0;79169362837;Северное Измайлово;Сиреневый бульвар;Измайловская;
87;Татьяна Забережная;realtor;https://www.cian.ru/sale/flat/283601607/;Москва_и_др.;sale;flat;1;9;1;26.8;298507;8000000;1966;15.0;6.0;79850293078;Северное Измайлово;Сиреневый бульвар;Измайловская;
88;The Moscow Times;real_estate_agent;https://vidnoye.cian.ru/sale/flat/287643865/;Москва_и_др.;sale;flat;16;18;1;30.7;187296;5750000;2018;16.0;8.0;79169599030;;;;
89;Самолет Плюс Москва;real_estate_agent;https://www.cian.ru/sale/flat/286730253/;Москва_и_др.;sale;flat;1;12;1;35.0;205714;7200000;1974;19.2;10.1;79660638799;Бирюлево Восточное;Михневская;Царицыно;
90;Contact Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/287688964/;Москва_и_др.;sale;flat;3;5;1;46.3;950000;43985000;2021;32.0;-1.0;79057122519;Замоскворечье;Озерковская набережная;Новокузнецкая;Bogenhouse
91;МОСОБЛЖИЛСЕРВИС;real_estate_agent;https://www.cian.ru/sale/flat/287690887/;Москва_и_др.;sale;flat;5;9;1;31.3;249201;7800000;1967;21.3;5.5;79683783416;Марьина роща;Октябрьская;Марьина роща;
92;Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/278490062/;Москва_и_др.;sale;flat;16;19;1;40.3;339950;13700000;2002;-1.0;11.0;79660631187;Хорошево-Мневники;Живописная;Народное Ополчение;
93;СТРОЙИНВЕСТ;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/283675735/;Москва_и_др.;sale;flat;1;5;1;30.8;198051;6100000;1965;18.8;6.0;79160767966;;;Водники;
94;ID 46995654;unknown;https://www.cian.ru/sale/flat/287552691/;Москва_и_др.;sale;flat;11;12;1;39.1;319693;12500000;1974;21.1;8.6;79162205950;Орехово-Борисово Северное;Шипиловский проезд;Орехово;
95;Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/287088116/;Москва_и_др.;sale;flat;7;14;1;40.6;181034;7350000;2004;-1.0;12.0;79099532318;;;;
96;Капиталъ-Недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/273535976/;Москва_и_др.;sale;flat;7;11;1;41.0;535365;21950000;2019;-1.0;-1.0;79645636036;Тверской;2-я Брестская;Маяковская;Резиденция Тверская
97;Isaev Estate;real_estate_agent;https://www.cian.ru/sale/flat/286723389/;Москва_и_др.;sale;flat;2;16;1;38.6;279792;10800000;1984;18.0;12.0;79660505642;Пресненский;Антонова-Овсеенко;Деловой центр;
98;ID 76724281;homeowner;https://krasnogorsk.cian.ru/sale/flat/286955285/;Москва_и_др.;sale;flat;3;4;1;33.0;257575;8500000;2017;14.0;8.3;79660588702;;;Опалиха;
99;Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/271502124/;Москва_и_др.;sale;flat;4;21;1;40.9;284841;11650000;-1;-1.0;15.6;79851481700;Сокольники;Сокольнический Вал;Рижская;
100;Estes;real_estate_agent;https://www.cian.ru/sale/flat/283190358/;Москва_и_др.;sale;flat;13;26;1;52.0;273076;14200000;2021;23.0;12.0;79161505932;Чертаново Северное;Балаклавский проспект;Чертановская;
101;Эмилия Короткова;realtor;https://balashikha.cian.ru/sale/flat/286022886/;Москва_и_др.;sale;flat;1;9;1;33.0;162121;5350000;1974;18.0;8.0;79623673226;;;;
102;ID 13544436;realtor;https://www.cian.ru/sale/flat/287014503/;Москва_и_др.;sale;flat;2;6;1;38.0;225789;8580000;2021;16.0;10.0;79671779932;;;Филатов Луг;
103;Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/287526807/;Москва_и_др.;sale;flat;6;18;1;38.4;429427;16490000;2021;11.0;12.0;79160423858;Алексеевский;Новоалексеевская;Алексеевская;Серебряный фонтан
104;PROНЕДВИЖИМОСТЬ;real_estate_agent;https://lyubertsy.cian.ru/sale/flat/286533562/;Москва_и_др.;sale;flat;1;17;1;45.9;171895;7890000;2017;22.3;12.1;79651090457;;;"Некрасовка - 15 мин.пешком. Для автомобилистов удобный выезд на СВХ и МКАД -10мин.

1 взрослый собственник. Полная стоимость в договоре. Возможна Ипотека. Оперативный показ. Документы готовы к сделке.";
105;Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/284661116/;Москва_и_др.;sale;flat;5;9;1;27.7;355595;9850000;-1;-1.0;7.6;79067678075;Фили-Давыдково;Ивана Франко;Кунцевская;MainStreet
106;Антон Писаренко;realtor;https://vidnoye.cian.ru/sale/flat/284847674/;Москва_и_др.;sale;flat;3;17;1;36.0;158333;5700000;2019;15.0;9.0;79152376713;;;Домодедовская;
107;do A.S.A.P.;real_estate_agent;https://www.cian.ru/sale/flat/285879109/;Москва_и_др.;sale;flat;14;30;1;41.0;407317;16700000;2021;-1.0;18.0;79660621056;Зябликово;Ореховый бульвар;Красногвардейская;Fresh
108;Century 21 Premium Property;real_estate_agent;https://www.cian.ru/sale/flat/282504058/;Москва_и_др.;sale;flat;17;25;1;48.1;446985;21500000;2022;16.4;17.3;79660643015;Раменки;Лобачевского;Аминьевская;Событие
109;Татьяна Серебрякова;realtor;https://www.cian.ru/sale/flat/262267177/;Москва_и_др.;sale;flat;3;4;1;40.0;149999;5999999;2017;-1.0;-1.0;79153420376;Даниловский;Автозаводская;ЗИЛ;Галерея ЗИЛ
110;Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/285633419/;Москва_и_др.;sale;flat;3;27;1;26.8;447761;12000000;2022;-1.0;5.0;79858272204;Хорошевский;Зорге;Полежаевская;
111;ЕГСН Продажа;real_estate_agent;https://www.cian.ru/sale/flat/280612156/;Москва_и_др.;sale;flat;14;14;1;42.4;168632;7150000;2009;20.0;9.0;79057194188;Южное Бутово;Маршала Савицкого;Аннино;
112;ЕГСН Продажа;real_estate_agent;https://www.cian.ru/sale/flat/276503708/;Москва_и_др.;sale;flat;2;5;1;31.0;370967;11500000;1960;18.6;6.0;79653772511;Басманный;Денисовский переулок;Курская;
113;ЕГСН Продажа;real_estate_agent;https://www.cian.ru/sale/flat/281522043/;Москва_и_др.;sale;flat;1;9;1;32.4;256172;8300000;1966;18.7;6.7;79651866749;Ховрино;Зеленоградская;Ховрино;
114;MiniStudioRealty;real_estate_agent;https://www.cian.ru/sale/flat/287675513/;Москва_и_др.;sale;flat;10;10;1;27.1;330000;8943000;-1;-1.0;-1.0;79067043877;Проспект Вернадского;проспект Вернадского;Проспект Вернадского;
115;ЕГСН Продажа;real_estate_agent;https://domodedovo.cian.ru/sale/flat/286940649/;Москва_и_др.;sale;flat;16;16;1;35.0;142857;5000000;2015;18.0;10.0;79651166406;;;Домодедовская;
116;ЕГСН Продажа;real_estate_agent;https://www.cian.ru/sale/flat/287688755/;Москва_и_др.;sale;flat;3;9;1;33.0;275757;9100000;1969;18.9;6.7;79153704227;Богородское;бульвар Маршала Рокоссовского;Бульвар Рокоссовского;
117;Msk Estate;real_estate_agent;https://www.cian.ru/sale/flat/287727267/;Москва_и_др.;sale;flat;6;14;1;27.8;390647;10860000;-1;-1.0;-1.0;79160595410;Сокол;Балтийская;Сокол;
118;ХОРЕКА ИНВЕСТ;real_estate_agent;https://www.cian.ru/sale/flat/286988891/;Москва_и_др.;sale;flat;9;22;1;15.6;345384;5388000;-1;11.0;3.0;79651585220;Тропарево-Никулино;Ленинский проспект;Юго-Западная;
119;ЕГСН Продажа;real_estate_agent;https://www.cian.ru/sale/flat/287684948/;Москва_и_др.;sale;flat;7;8;1;31.0;345161;10700000;1960;18.0;6.0;79652848421;Ломоносовский;Кравченко;Проспект Вернадского;
120;BERI;real_estate_agent;https://www.cian.ru/sale/flat/287657257/;Москва_и_др.;sale;flat;8;9;1;31.6;355696;11240000;1965;16.8;8.6;79851475193;Нагатинский затон;Кленовый бульвар;Коломенская;
121;ID 94399665;homeowner;https://vidnoye.cian.ru/sale/flat/286961121/;Москва_и_др.;sale;flat;16;17;1;40.0;162500;6500000;2014;-1.0;-1.0;79031228532;;;;
122;ID 102270;unknown;https://www.cian.ru/sale/flat/287660074/;Москва_и_др.;sale;flat;14;25;1;42.7;259953;11100000;2022;15.1;9.9;79623682352;Москворечье-Сабурово;Каширское шоссе;Москворечье;Каширка.LIKE
123;TimeProperty;real_estate_agent;https://www.cian.ru/sale/flat/285608474/;Москва_и_др.;sale;flat;16;25;1;41.0;334146;13700000;2022;-1.0;-1.0;79623620296;Очаково-Матвеевское;Аминьевское шоссе;Аминьевская;Вестердам
